Sample	UMI-tools_mqc-generalstats-umi_tools-extract_output_reads	BBDuk_mqc-generalstats-bbduk-Total_Removed_bases_percent	BBDuk_mqc-generalstats-bbduk-Total_Removed_bases	BBDuk_mqc-generalstats-bbduk-Total_Removed_reads_percent	BBDuk_mqc-generalstats-bbduk-Total_Removed_reads	BBDuk_mqc-generalstats-bbduk-Input_reads	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
31136-065_deduped								93.09781429499854	46.0	24.145851142783318	22	36.36363636363637	14.056208
31136-066.R1	13.032195999999999												
31136-066_bbduk		63.02	506.499988	2.04	0.26633799999999996	13.032195999999999	2.4314042375979903						
31136-066_deduped								95.29301404315429	47.0	23.84672738841499	22	36.36363636363637	12.161266
31136-067.R1	14.405412												
31136-067_bbduk		63.89	566.765583	1.95	0.280234	14.405412	2.537090623874324						
31136-067_deduped								95.66280769422231	44.0	23.211177555866737	22	36.36363636363637	13.448431999999999
31136-068.R1	2.7791479999999997												
31136-068_bbduk		64.92	111.188997	2.27	0.063092	2.7791479999999997	2.5906739372694343						
31136-068_deduped								93.23770298632608	56.0	22.632299328281427	22	45.45454545454545	2.586351
