Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
31136-049_deduped	(1.0, 4.299052209762473)	(2.0, 1.782559604168447)	(3.0, 0.9857312291098945)	(4.0, 0.6121608952866594)	(5.0, 0.45607784608570145)	(6.0, 0.35651708229732626)	(7.0, 0.30886930045822686)	(8.0, 0.2738336539621724)	(9.0, 0.23631325329860658)	('>10', 3.8928715948507575)	('>50', 1.7499504520155034)	('>100', 4.49051715449057)	('>500', 2.2722822794910162)	('>1k', 7.015106929643525)	('>5k', 4.108301524522821)	('>10k+', 67.15985499055628)
31136-050_deduped	(1.0, 2.3767028852782484)	(2.0, 1.0646296951262533)	(3.0, 0.6394115509885955)	(4.0, 0.4492451269294843)	(5.0, 0.33703736291416286)	(6.0, 0.27775243648406633)	(7.0, 0.2368784748870662)	(8.0, 0.2124881507979134)	(9.0, 0.1775383614771623)	('>10', 2.946737834445596)	('>50', 1.2536252209512773)	('>100', 3.62586596608891)	('>500', 1.775279353733432)	('>1k', 6.4141897936202685)	('>5k', 3.7078556783573835)	('>10k+', 74.50476210792019)
31136-051_deduped	(1.0, 3.3165767381409648)	(2.0, 1.3726778056192495)	(3.0, 0.7581561348338235)	(4.0, 0.47575789825249626)	(5.0, 0.3274981294208284)	(6.0, 0.267157603289652)	(7.0, 0.22495034349168733)	(8.0, 0.1816686112097069)	(9.0, 0.17928452052649768)	('>10', 2.694006348994616)	('>50', 1.249043184946682)	('>100', 3.4985389564692175)	('>500', 1.9055305991941724)	('>1k', 6.415461590028968)	('>5k', 4.005917888888141)	('>10k+', 73.1277736466933)
31136-052_deduped	(1.0, 2.388420601977992)	(2.0, 1.2869908901740355)	(3.0, 1.2656251706379922)	(4.0, 1.3340715310926412)	(5.0, 1.3844161037071554)	(6.0, 1.3604793718008734)	(7.0, 1.2222426284834595)	(8.0, 1.1206830727763846)	(9.0, 0.9729796135501648)	('>10', 8.47056820372508)	('>50', 2.4457882013645293)	('>100', 5.694305821126564)	('>500', 2.821157369296029)	('>1k', 7.854338780767202)	('>5k', 4.082447558007372)	('>10k+', 56.295485081512496)
31136-053_deduped	(1.0, 1.6403793007393026)	(2.0, 1.0239068502489563)	(3.0, 0.9741665858542051)	(4.0, 0.9074799701416253)	(5.0, 0.8149476203094906)	(6.0, 0.7214737513648999)	(7.0, 0.5850375088534707)	(8.0, 0.4803498561891068)	(9.0, 0.40509481915434387)	('>10', 4.2091168469245055)	('>50', 1.7559515088233515)	('>100', 4.585321001503457)	('>500', 2.5639901478442155)	('>1k', 7.063162942076572)	('>5k', 3.8942909943496464)	('>10k+', 68.37533029562285)
31136-054_deduped	(1.0, 1.9431949560580797)	(2.0, 1.0989342594838047)	(3.0, 1.0269232245679292)	(4.0, 1.0724716271645114)	(5.0, 1.051914681591417)	(6.0, 0.9902269544714065)	(7.0, 0.9047803751907769)	(8.0, 0.8298406394664868)	(9.0, 0.7269904574893887)	('>10', 6.438073740443108)	('>50', 2.10360329191473)	('>100', 4.969485851059127)	('>500', 2.3326887138897607)	('>1k', 6.758905383894944)	('>5k', 3.7102251398697503)	('>10k+', 64.04174070344477)
31136-055_deduped	(1.0, 1.0890933863520353)	(2.0, 0.567322427627392)	(3.0, 0.5439565134837469)	(4.0, 0.5919399695679464)	(5.0, 0.6132500232293474)	(6.0, 0.6359951396880256)	(7.0, 0.6404950040627558)	(8.0, 0.6043825556062796)	(9.0, 0.5709215293535009)	('>10', 5.488584351681905)	('>50', 1.6316169033310817)	('>100', 4.233901996017835)	('>500', 2.0658306784035627)	('>1k', 6.572834238827712)	('>5k', 3.746855237591863)	('>10k+', 70.40302004517501)
31136-056_deduped	(1.0, 3.1689310135305524)	(2.0, 2.151084611901362)	(3.0, 2.1601745375448558)	(4.0, 1.9786574150735727)	(5.0, 1.8100771744623843)	(6.0, 1.6011878295236457)	(7.0, 1.2758873282381553)	(8.0, 1.035373406028205)	(9.0, 0.8392158463638568)	('>10', 7.570228090600698)	('>50', 2.966077420972708)	('>100', 7.121928512229414)	('>500', 3.110746564206595)	('>1k', 7.094033669779712)	('>5k', 4.132745064633771)	('>10k+', 51.9836515149105)
31136-057_deduped	(1.0, 3.6838439876229327)	(2.0, 2.6161864292425094)	(3.0, 2.4229300107423444)	(4.0, 2.114921103503449)	(5.0, 1.7664899971309427)	(6.0, 1.4348629510681572)	(7.0, 1.1309894201843262)	(8.0, 0.8900379642231263)	(9.0, 0.7339852698038711)	('>10', 6.973013821516677)	('>50', 2.7958891009569538)	('>100', 6.779615448834922)	('>500', 2.991736600125213)	('>1k', 7.066450412208192)	('>5k', 4.128931250781162)	('>10k+', 52.47011623205521)
31136-058_deduped	(1.0, 3.966664411053189)	(2.0, 2.659549032873358)	(3.0, 2.5969573364790164)	(4.0, 2.3663699239945863)	(5.0, 2.090795972176531)	(6.0, 1.7536745423049889)	(7.0, 1.4453314354555202)	(8.0, 1.1358970377022855)	(9.0, 0.9044571164560953)	('>10', 8.065605516712417)	('>50', 3.0801147157183113)	('>100', 7.383663868469231)	('>500', 2.9734037730154683)	('>1k', 7.112440122170667)	('>5k', 3.652073975710372)	('>10k+', 48.81300121970797)
31136-059_deduped	(1.0, 2.241072387351497)	(2.0, 1.4653589828816391)	(3.0, 1.268360045699604)	(4.0, 1.0814566170499003)	(5.0, 0.8392595001283922)	(6.0, 0.6823053068145859)	(7.0, 0.5352079708041526)	(8.0, 0.4321716180971916)	(9.0, 0.37010089827554005)	('>10', 4.502732826718089)	('>50', 1.9324550287882152)	('>100', 4.6187052127746435)	('>500', 2.4303828696144616)	('>1k', 6.499197586583599)	('>5k', 3.647382824682619)	('>10k+', 67.45385032373588)
31136-060_deduped	(1.0, 2.0977080085669924)	(2.0, 1.4540977375868747)	(3.0, 1.3183126578051576)	(4.0, 1.165029124050089)	(5.0, 1.0047837241031197)	(6.0, 0.8017649375004379)	(7.0, 0.6153762050429947)	(8.0, 0.5271447836953667)	(9.0, 0.4028223947902542)	('>10', 4.626898588903994)	('>50', 1.908096429501953)	('>100', 4.688110856372247)	('>500', 2.3731746496076003)	('>1k', 6.6302389781444635)	('>5k', 3.890194270865429)	('>10k+', 66.496246653463)
31136-061_deduped	(1.0, 2.1719073662267143)	(2.0, 1.2680829363457295)	(3.0, 1.2425053178906564)	(4.0, 1.2411315184846214)	(5.0, 1.1881156750148893)	(6.0, 1.0531257105236587)	(7.0, 0.9454924009815716)	(8.0, 0.8265485992961789)	(9.0, 0.684375082174472)	('>10', 6.43409874521248)	('>50', 2.5705936749898757)	('>100', 6.151604848374509)	('>500', 2.4939100356242903)	('>1k', 7.564178821727226)	('>5k', 3.7319122889446747)	('>10k+', 60.43241697818846)
31136-062_deduped	(1.0, 2.361151637374707)	(2.0, 1.2186297815847913)	(3.0, 1.1406569894418743)	(4.0, 1.2041726447783025)	(5.0, 1.2540698766041822)	(6.0, 1.249226877548731)	(7.0, 1.2108230619456088)	(8.0, 1.141554897758966)	(9.0, 1.0677748715983333)	('>10', 9.498105551402308)	('>50', 3.040729514903336)	('>100', 6.188999344011922)	('>500', 2.7827994669767167)	('>1k', 7.515564651765555)	('>5k', 3.8408518688848328)	('>10k+', 55.28488896341982)
31136-063_deduped	(1.0, 2.5959018754750907)	(2.0, 1.7306461900442116)	(3.0, 1.5829820989615317)	(4.0, 1.4174670128463567)	(5.0, 1.232612814628897)	(6.0, 1.0164224194233296)	(7.0, 0.7921876620181807)	(8.0, 0.6477335817940757)	(9.0, 0.5027189574544233)	('>10', 4.999059944320849)	('>50', 2.0387347157318825)	('>100', 5.13054115939099)	('>500', 2.521684153556267)	('>1k', 6.442850127494887)	('>5k', 3.6340541064745677)	('>10k+', 63.71440318038445)
31136-064_deduped	(1.0, 2.300725036848814)	(2.0, 1.584704939530832)	(3.0, 1.6301449830209769)	(4.0, 1.6046422318256692)	(5.0, 1.4665780754541284)	(6.0, 1.2469143656094823)	(7.0, 1.041733650391444)	(8.0, 0.8869443410046569)	(9.0, 0.7163951172262513)	('>10', 7.340921791965601)	('>50', 2.7543813963489017)	('>100', 6.317484957916385)	('>500', 3.286464543879946)	('>1k', 8.977113071267686)	('>5k', 3.979827241599048)	('>10k+', 54.86502425611018)
31136-065_deduped	(1.0, 3.5128987779801433)	(2.0, 2.5329756905676843)	(3.0, 2.0755049772549445)	(4.0, 1.6309221490731693)	(5.0, 1.2547500916171965)	(6.0, 0.9581483356331818)	(7.0, 0.7221419030133289)	(8.0, 0.5595927832297305)	(9.0, 0.44083100686967397)	('>10', 6.105139142838175)	('>50', 2.7085304187948895)	('>100', 6.502018712870247)	('>500', 3.1954337563879163)	('>1k', 8.354995349148101)	('>5k', 4.306517541528118)	('>10k+', 55.139599363193504)
31136-066_deduped	(1.0, 2.0278761025116494)	(2.0, 1.2564246904891938)	(3.0, 1.2431202527348784)	(4.0, 1.2797870963731517)	(5.0, 1.2580491318137748)	(6.0, 1.1815758367465001)	(7.0, 1.0465714845392013)	(8.0, 0.9158154764577221)	(9.0, 0.7798303195694972)	('>10', 8.052957164870804)	('>50', 2.8359326741764357)	('>100', 6.429489538379461)	('>500', 3.2119534586272236)	('>1k', 8.321483436418257)	('>5k', 3.8592462949185293)	('>10k+', 56.299887041373744)
31136-067_deduped	(1.0, 1.8988427494159867)	(2.0, 1.0894737763632147)	(3.0, 1.0384080679883432)	(4.0, 1.074272353529294)	(5.0, 1.1115582877314254)	(6.0, 1.1144771896720485)	(7.0, 1.056272811385916)	(8.0, 0.9594436328316966)	(9.0, 0.8538191577265477)	('>10', 7.510100856278395)	('>50', 2.3407721993106887)	('>100', 5.637274430933931)	('>500', 3.011255897728473)	('>1k', 7.953337910340476)	('>5k', 3.4261468089025047)	('>10k+', 59.924543869861054)
31136-068_deduped	(1.0, 3.9109314187791115)	(2.0, 2.158243596118761)	(3.0, 1.5249456121527494)	(4.0, 1.1189927417268697)	(5.0, 0.8442043885430942)	(6.0, 0.7189393028507647)	(7.0, 0.625953267019282)	(8.0, 0.5359935394970896)	(9.0, 0.4621600987791593)	('>10', 7.573125007101885)	('>50', 3.344515953787903)	('>100', 9.248326608237845)	('>500', 4.958579689536683)	('>1k', 17.574973803272947)	('>5k', 9.749559964575274)	('>10k+', 35.65055500802058)
