Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
31136-047_deduped	(1, 33.82518205263305)	(2, 33.88872123385363)	(3, 33.877145632531324)	(4, 33.82029261951848)	(5, 33.85862644213818)	(6, 33.84629733764166)	(7, 33.90597729029498)	(8, 33.91247117449767)	(9, 33.89023240896098)	(10, 33.9182136399056)	(11, 33.8345252835554)	(12, 33.91735174899954)	(13, 33.852855316512695)	(14, 33.86998735237627)	(15, 33.926093115353275)	(16, 33.90614315396504)	(17, 33.895932368024994)	(18, 33.92112869823255)	(19, 33.93849682931096)	(20, 33.942248153176955)	(21, 33.93956108256291)	(22, 33.890207187812905)	(23, 33.828662007156474)	(24, 33.807404251996445)	(25, 33.81030301093368)	(26, 33.9078449664918)	(27, 33.92082211397856)	(28, 33.930150187013034)	(29, 33.90402648502554)	(30, 33.93735687339078)	(31, 33.89618760911722)	(32, 33.88635478562837)	(33, 33.9099714987398)	(34, 33.9296415729408)	(35, 33.916788105236755)	(36, 33.88198169093228)	(37, 33.9381010566206)	(38, 33.919185856160645)	(39, 33.91464546475155)	(40, 33.884952912978655)	(41, 33.95595579144739)	(42, 33.94452044042787)	(43, 33.955286686371466)	(44, 33.95971534395938)
31136-048_deduped	(1, 33.85008364651447)	(2, 33.899352746485384)	(3, 33.88669472124156)	(4, 33.85929818940714)	(5, 33.86736031918351)	(6, 33.85504198596019)	(7, 33.9099218245377)	(8, 33.92088879729315)	(9, 33.90802282973771)	(10, 33.93012450479769)	(11, 33.85248688819225)	(12, 33.92544659645924)	(13, 33.8651570830879)	(14, 33.871512286917)	(15, 33.932346259928686)	(16, 33.91727840112012)	(17, 33.91066781168762)	(18, 33.92565744794209)	(19, 33.93947843544576)	(20, 33.946810337741525)	(21, 33.946445958236936)	(22, 33.88602333637011)	(23, 33.8353273960424)	(24, 33.83079501967607)	(25, 33.818983530874576)	(26, 33.93235445722151)	(27, 33.9325517137432)	(28, 33.93878756365716)	(29, 33.92948672976851)	(30, 33.95031424682133)	(31, 33.910546192253626)	(32, 33.89482974840711)	(33, 33.92320441173534)	(34, 33.9384734878967)	(35, 33.92672175800311)	(36, 33.90945313181646)	(37, 33.94226319969612)	(38, 33.93411776915792)	(39, 33.910093201691225)	(40, 33.9122683021363)	(41, 33.96500597494947)	(42, 33.95296823213762)	(43, 33.962706331909736)	(44, 33.96557948201318)
31136-049_deduped	(1, 33.86102323835851)	(2, 33.896934885961485)	(3, 33.88250699505459)	(4, 33.82459046971629)	(5, 33.85473209177973)	(6, 33.84750942956388)	(7, 33.90580148245036)	(8, 33.90720228972857)	(9, 33.89040296826963)	(10, 33.91701171008684)	(11, 33.83559714917107)	(12, 33.91775711106704)	(13, 33.85039726939172)	(14, 33.87114504863453)	(15, 33.92645267054213)	(16, 33.905929146737265)	(17, 33.89790797355301)	(18, 33.92294585076861)	(19, 33.931834603532046)	(20, 33.9388221627015)	(21, 33.931176018893225)	(22, 33.85269292309141)	(23, 33.82961813851011)	(24, 33.822510916408625)	(25, 33.81795901482148)	(26, 33.925341639810156)	(27, 33.92523621266008)	(28, 33.93747826046319)	(29, 33.92255412120355)	(30, 33.94377821724711)	(31, 33.894834332030456)	(32, 33.876490515212396)	(33, 33.924574438171284)	(34, 33.93798475939802)	(35, 33.922130423825145)	(36, 33.88970258139931)	(37, 33.938321780047204)	(38, 33.922016816228705)	(39, 33.91247839557155)	(40, 33.90077288174479)	(41, 33.96227018564707)	(42, 33.949935815147626)	(43, 33.9563032166509)	(44, 33.95991364031837)
31136-050_deduped	(1, 33.84694448713343)	(2, 33.89503263990587)	(3, 33.882131238070194)	(4, 33.85452628464636)	(5, 33.85948395683595)	(6, 33.85423195073263)	(7, 33.90849642137256)	(8, 33.91787144942846)	(9, 33.90211590055058)	(10, 33.92938427117355)	(11, 33.85817189417428)	(12, 33.92440031078751)	(13, 33.85282740995134)	(14, 33.872631341081195)	(15, 33.93244872378728)	(16, 33.91539737812581)	(17, 33.91162618664793)	(18, 33.926196837616466)	(19, 33.94288968486191)	(20, 33.949959678903575)	(21, 33.94972672986595)	(22, 33.8874077577119)	(23, 33.83148722961016)	(24, 33.83039233635247)	(25, 33.82221590433134)	(26, 33.92632347147683)	(27, 33.928828870958384)	(28, 33.9360764274711)	(29, 33.92059258590973)	(30, 33.94549118777259)	(31, 33.90287357059069)	(32, 33.885484779148754)	(33, 33.91785075689389)	(34, 33.93547902543615)	(35, 33.91717105708236)	(36, 33.87931326282109)	(37, 33.946534431974946)	(38, 33.92880932441894)	(39, 33.928602845529724)	(40, 33.91308414361768)	(41, 33.9615206284964)	(42, 33.947984076257306)	(43, 33.96067812829631)	(44, 33.96093116965596)
31136-051_deduped	(1, 33.8385318358062)	(2, 33.89423181514962)	(3, 33.88081860393785)	(4, 33.82764781790842)	(5, 33.87687726692036)	(6, 33.84828501867601)	(7, 33.90750200265499)	(8, 33.91613038161697)	(9, 33.90074284014494)	(10, 33.92589002640123)	(11, 33.84797398519403)	(12, 33.918765981122164)	(13, 33.85363203748255)	(14, 33.86879298115469)	(15, 33.928885769938184)	(16, 33.90968827279285)	(17, 33.91266940874112)	(18, 33.926994126938204)	(19, 33.94124242025674)	(20, 33.94623306007133)	(21, 33.94478713009635)	(22, 33.89272257222437)	(23, 33.82873253600712)	(24, 33.81049402339884)	(25, 33.81326043786049)	(26, 33.91606724444801)	(27, 33.923106471187594)	(28, 33.934325107540694)	(29, 33.914923284115865)	(30, 33.94410669144887)	(31, 33.896865563753906)	(32, 33.8620823630377)	(33, 33.9091764947536)	(34, 33.920095324207885)	(35, 33.91421788019504)	(36, 33.88107264588723)	(37, 33.947101782178216)	(38, 33.93155270642277)	(39, 33.93393612518946)	(40, 33.90972297254853)	(41, 33.96018431036237)	(42, 33.953592449884255)	(43, 33.96676072380854)	(44, 33.96407891915076)
31136-052_deduped	(1, 33.875382542485305)	(2, 33.89864081759866)	(3, 33.88699114716418)	(4, 33.867677922305475)	(5, 33.86679706184785)	(6, 33.858383372954655)	(7, 33.903526958085806)	(8, 33.84672275165202)	(9, 33.869531356741554)	(10, 33.9104759683626)	(11, 33.834632993203364)	(12, 33.91067308398948)	(13, 33.87233272570274)	(14, 33.87256406279262)	(15, 33.921552771506455)	(16, 33.8886165183865)	(17, 33.90551587655436)	(18, 33.91432792955624)	(19, 33.92098129697977)	(20, 33.93233403572835)	(21, 33.901992319873735)	(22, 33.88009545288038)	(23, 33.805705628134845)	(24, 33.643725262993435)	(25, 33.87123204472965)	(26, 33.93013617947212)	(27, 33.94224243657502)	(28, 33.94907640007936)	(29, 33.93695036418754)	(30, 33.94148821006152)	(31, 33.87372319716533)	(32, 33.665463164904175)	(33, 33.94616177885493)	(34, 33.95277184137944)	(35, 33.9551968710179)	(36, 33.9460203091102)	(37, 33.92640747237796)	(38, 33.90692450109229)	(39, 33.898290846057826)	(40, 33.852285816722734)	(41, 33.944677765503414)	(42, 33.93801455545972)	(43, 33.946623772358095)	(44, 33.95440697552264)
31136-053_deduped	(1, 33.86630877041944)	(2, 33.89404644636277)	(3, 33.90409131241461)	(4, 33.868547218435765)	(5, 33.88068039905523)	(6, 33.86639895474799)	(7, 33.91809177780223)	(8, 33.88450671681019)	(9, 33.887711127605805)	(10, 33.92591487733205)	(11, 33.86466043026396)	(12, 33.910824901847974)	(13, 33.88698913168065)	(14, 33.89684111795465)	(15, 33.934511581159995)	(16, 33.88569633865614)	(17, 33.929376125525906)	(18, 33.9185270037565)	(19, 33.91788411856004)	(20, 33.94106621807466)	(21, 33.918993154160525)	(22, 33.869311738349595)	(23, 33.83874932623297)	(24, 33.70307664369764)	(25, 33.88382779948404)	(26, 33.93967603449757)	(27, 33.95210851818437)	(28, 33.95834906753504)	(29, 33.946678201544614)	(30, 33.956248542619726)	(31, 33.93388919245381)	(32, 33.88513987885209)	(33, 33.93392302913516)	(34, 33.93524258955742)	(35, 33.93217620294092)	(36, 33.92660766895374)	(37, 33.92212195289118)	(38, 33.917276313104345)	(39, 33.9043391905312)	(40, 33.879740144520774)	(41, 33.94226336356493)	(42, 33.943139097744364)	(43, 33.955053857877196)	(44, 33.93422890918861)
31136-054_deduped	(1, 33.861193322172284)	(2, 33.895397176710816)	(3, 33.88834730207984)	(4, 33.878430163721696)	(5, 33.87691204279599)	(6, 33.862371877534045)	(7, 33.913452086956944)	(8, 33.90637539040149)	(9, 33.868301668598626)	(10, 33.92230224915918)	(11, 33.84221198265453)	(12, 33.91399228051603)	(13, 33.88338417317361)	(14, 33.8895778919751)	(15, 33.93060846273291)	(16, 33.902152885603016)	(17, 33.91661980552562)	(18, 33.92574978998376)	(19, 33.93259664211916)	(20, 33.94678452200646)	(21, 33.92900203605577)	(22, 33.88204785482105)	(23, 33.863058702567336)	(24, 33.789276046592725)	(25, 33.86648393112061)	(26, 33.928850590008494)	(27, 33.93312536290325)	(28, 33.941539454786174)	(29, 33.92946601861221)	(30, 33.9495182745925)	(31, 33.91647740415758)	(32, 33.842823357595655)	(33, 33.931921858064314)	(34, 33.94180520584949)	(35, 33.93713534017906)	(36, 33.9286549718661)	(37, 33.93303117195449)	(38, 33.913969609543905)	(39, 33.913338457359814)	(40, 33.854484431716614)	(41, 33.95047831386997)	(42, 33.95219094820086)	(43, 33.961831218974076)	(44, 33.9644115777919)
31136-055_deduped	(1, 33.85486383754514)	(2, 33.89641546190359)	(3, 33.89414078950586)	(4, 33.88031778031968)	(5, 33.88718852991281)	(6, 33.868039113931964)	(7, 33.91361298508639)	(8, 33.89684963850315)	(9, 33.87447840392552)	(10, 33.93160713266839)	(11, 33.862972452337026)	(12, 33.91546054508454)	(13, 33.88337060151663)	(14, 33.897172418102826)	(15, 33.935234327664766)	(16, 33.90168913510645)	(17, 33.922047074803004)	(18, 33.92931492516264)	(19, 33.93504798914902)	(20, 33.947530373756955)	(21, 33.93470162579248)	(22, 33.88230050617746)	(23, 33.86695772085304)	(24, 33.76574144379763)	(25, 33.87057368233172)	(26, 33.93776584516515)	(27, 33.94196352704186)	(28, 33.949496753510324)	(29, 33.95410901540326)	(30, 33.96174206706703)	(31, 33.906756168328656)	(32, 33.78119426699196)	(33, 33.950953369660816)	(34, 33.95408950564177)	(35, 33.95398964384841)	(36, 33.953046311065776)	(37, 33.9396028289374)	(38, 33.92079162978598)	(39, 33.914988069474504)	(40, 33.89057573180057)	(41, 33.94946194034511)	(42, 33.956687456687455)	(43, 33.96142805884464)	(44, 33.964555052790345)
31136-056_deduped	(1, 33.872803351426406)	(2, 33.892674972015364)	(3, 33.87445762241485)	(4, 33.853061650289455)	(5, 33.85514531607689)	(6, 33.85156812709756)	(7, 33.90292814910679)	(8, 33.878478519353145)	(9, 33.85698951168797)	(10, 33.901354252016624)	(11, 33.820115508577196)	(12, 33.90989480446744)	(13, 33.87228037058147)	(14, 33.87626713613832)	(15, 33.91678108592981)	(16, 33.893904216049904)	(17, 33.9060279277165)	(18, 33.91168880501791)	(19, 33.92486931623527)	(20, 33.93256756135667)	(21, 33.90097158328733)	(22, 33.87731416187063)	(23, 33.844298729892884)	(24, 33.75320609879278)	(25, 33.859539685028714)	(26, 33.92562801023418)	(27, 33.93567979908613)	(28, 33.942308171236604)	(29, 33.93020162358083)	(30, 33.945887814578484)	(31, 33.91031152595561)	(32, 33.845565523098834)	(33, 33.936231121842184)	(34, 33.94133840711122)	(35, 33.93788753913104)	(36, 33.92815172376701)	(37, 33.9282462875572)	(38, 33.90569410019054)	(39, 33.904415378020346)	(40, 33.82969776609724)	(41, 33.940754422106984)	(42, 33.94373528160923)	(43, 33.95052819288165)	(44, 33.94781585841844)
